spot_price,strike_price,ltp,time_to_maturity,risk_free_rate,option_type,calc_iv,calc_delta,calc_gamma,calc_theta,calc_vega
1200.0,1100.0,0.65,0.0904109589041095,0.07,PUT,0.16461312377762716,-0.028031930970249253,0.0010827592152683465,-0.05130041494177022,0.2320491129298734
1200.0,1120.0,0.75,0.0904109589041095,0.07,PUT,0.1412936130779951,-0.03639442520530645,0.0015649574191699386,-0.053109758775086634,0.28787809734188385
1200.0,1150.0,1.05,0.0904109589041095,0.07,PUT,0.10686886728110337,-0.06208929275364772,0.003173016177442013,-0.05699449019526434,0.4414759605045904
1200.0,1160.0,1.1,0.0904109589041095,0.07,PUT,0.09286432858369556,-0.07287211155187812,0.004132703732578073,-0.05332113185133898,0.4996510024603829
1200.0,1180.0,1.3,0.0904109589041095,0.07,PUT,0.06436475038070023,-0.11407927260778372,0.008310100776129292,-0.041408133847145624,0.6963666233070699
1200.0,1200.0,1.75,0.0904109589041095,0.07,PUT,0.03186651561770081,-0.2529316596811214,0.027808093926435153,0.0028413634393704597,1.1536906373407347
1200.0,1220.0,1.9,0.0904109589041095,0.07,PUT,,,,,
1200.0,1240.0,2.55,0.0904109589041095,0.07,PUT,,,,,
1200.0,1250.0,150.0,0.0904109589041095,0.07,CALL,1.1682811421188206,0.5308671582807378,0.0009435574808191586,-2.6338086902215485,1.435156612251223
1200.0,1250.0,2.9,0.0904109589041095,0.07,PUT,,,,,
1200.0,1260.0,136.5,0.0904109589041095,0.07,CALL,1.1011915235368712,0.5148835537579397,0.0010033513633667989,-2.4923552067591417,1.4384655732216909
1200.0,1260.0,3.2,0.0904109589041095,0.07,PUT,,,,,
1200.0,1270.0,3.8,0.0904109589041095,0.07,PUT,,,,,
1200.0,1280.0,118.0,0.0904109589041095,0.07,CALL,1.0244784091208754,0.486062499005198,0.001078574947723445,-2.32226608193973,1.4385889040163045
1200.0,1280.0,4.4,0.0904109589041095,0.07,PUT,,,,,
1200.0,1290.0,5.3,0.0904109589041095,0.07,PUT,,,,,
1200.0,1300.0,111.45,0.0904109589041095,0.07,CALL,1.0281904561124795,0.4665869520673512,0.0010715634900574152,-2.320630063547828,1.4344157458318774
1200.0,1300.0,6.15,0.0904109589041095,0.07,PUT,,,,,
1200.0,1310.0,90.95,0.0904109589041095,0.07,CALL,0.9083366842436225,0.43589363025976824,0.0012014772245350417,-2.0383325376713057,1.4208425818456174
1200.0,1310.0,7.25,0.0904109589041095,0.07,PUT,,,,,
1200.0,1320.0,95.0,0.0904109589041095,0.07,CALL,0.9598368381044388,0.4348621128843067,0.0011365272419722044,-2.1473068885614883,1.4202370286605364
1200.0,1320.0,8.6,0.0904109589041095,0.07,PUT,,,,,
1200.0,1330.0,86.3,0.0904109589041095,0.07,CALL,0.9207624398244705,0.41674513007425024,0.0011745560623108873,-2.043661203476426,1.4080073221973317
1200.0,1330.0,10.1,0.0904109589041095,0.07,PUT,,,,,
1200.0,1340.0,78.4,0.0904109589041095,0.07,CALL,0.8861226223604081,0.39852059481995283,0.0012071526724690734,-1.9464542787366423,1.3926423304773596
1200.0,1340.0,12.05,0.0904109589041095,0.07,PUT,,,,,
1200.0,1350.0,70.45,0.0904109589041095,0.07,CALL,0.8497205986087351,0.37886019027504153,0.0012407349000497986,-1.8408186442322678,1.3725833055980872
1200.0,1350.0,14.25,0.0904109589041095,0.07,PUT,,,,,
1200.0,1360.0,63.8,0.0904109589041095,0.07,CALL,0.8212890505611979,0.3602701944051138,0.0012627946032579475,-1.750889167789239,1.3502441910652774
1200.0,1360.0,16.65,0.0904109589041095,0.07,PUT,,,,,
1200.0,1370.0,56.6,0.0904109589041095,0.07,CALL,0.7871170098798934,0.3391735415487379,0.0012889358297271446,-1.642451711068497,1.3208520105990176
1200.0,1370.0,19.5,0.0904109589041095,0.07,PUT,,,,,
1200.0,1380.0,49.4,0.0904109589041095,0.07,CALL,0.7508621291238647,0.3162818822726954,0.0013134640652892604,-1.524072035971733,1.2839909527822975
1200.0,1380.0,22.7,0.0904109589041095,0.07,PUT,,,,,
1200.0,1390.0,43.55,0.0904109589041095,0.07,CALL,0.7229127874398346,0.295154031742325,0.001323089832170348,-1.4235311148919096,1.2452564686310037
1200.0,1390.0,26.45,0.0904109589041095,0.07,PUT,,,,,
1200.0,1400.0,37.95,0.0904109589041095,0.07,CALL,0.6947341931506448,0.27319191183592767,0.0013267642228301088,-1.3187894543185816,1.2000407501990489
1200.0,1400.0,30.5,0.0904109589041095,0.07,PUT,,,,,
1200.0,1410.0,32.6,0.0904109589041095,0.07,CALL,0.6660828805845658,0.2503237268980903,0.0013231220461994144,-1.209323422151977,1.1473918086029267
1200.0,1410.0,35.15,0.0904109589041095,0.07,PUT,,,,,
1200.0,1420.0,27.9,0.0904109589041095,0.07,CALL,0.6403163072023946,0.22808088905410193,0.0013081053426294471,-1.105104591309781,1.090487895583519
1200.0,1420.0,40.4,0.0904109589041095,0.07,PUT,,,,,
1200.0,1430.0,23.5,0.0904109589041095,0.07,CALL,0.6143005207044544,0.2053333376488672,0.0012830895933727687,-0.9978689188703379,1.026175008350024
1200.0,1430.0,46.05,0.0904109589041095,0.07,PUT,,,,,
1200.0,1440.0,19.8,0.0904109589041095,0.07,CALL,0.5919375515420976,0.18411152343003562,0.001246030323558241,-0.8998053508689717,0.9602583024467235
1200.0,1450.0,16.55,0.0904109589041095,0.07,CALL,0.5710823335668768,0.1637025897432166,0.0011985227153806692,-0.8055514878523756,0.8911043475829169
1200.0,1450.0,58.8,0.0904109589041095,0.07,PUT,,,,,
1200.0,1460.0,13.6,0.0904109589041095,0.07,CALL,0.5501708048814683,0.1435439632764278,0.0011403639760054589,-0.7113185106637201,0.8168166797212755
1200.0,1460.0,65.0,0.0904109589041095,0.07,PUT,,,,,
1200.0,1470.0,11.05,0.0904109589041095,0.07,CALL,0.5304447643617842,0.12446386014401298,0.0010723134831325226,-0.6216955201798369,0.7405348499551198
1200.0,1480.0,9.2,0.0904109589041095,0.07,CALL,0.516753362601817,0.10910350411340732,0.0010025657212414558,-0.5514479415424662,0.6744965465477646
1200.0,1480.0,81.0,0.0904109589041095,0.07,PUT,,,,,
1200.0,1490.0,7.15,0.0904109589041095,0.07,CALL,0.49628345545056757,0.091182957798517,0.0009156914198071,-0.4644989615831217,0.5916467860981748
1200.0,1500.0,6.0,0.0904109589041095,0.07,CALL,0.48726211132136876,0.07977490944453315,0.0008437863623138576,-0.4123907128353671,0.5352771592256547
1200.0,1500.0,99.55,0.0904109589041095,0.07,PUT,,,,,
1200.0,1520.0,4.05,0.0904109589041095,0.07,CALL,0.46808918599876437,0.05888639192604387,0.0006950197065992522,-0.313171100828392,0.4235544941957157
1200.0,1520.0,115.6,0.0904109589041095,0.07,PUT,,,,,
1200.0,1540.0,2.5,0.0904109589041095,0.07,CALL,0.4457987858139664,0.040336696537259915,0.0005393885600152219,-0.2202590819047981,0.31305754847390094
