spot_price,strike_price,ltp,time_to_maturity,risk_free_rate,option_type,calc_iv,calc_delta,calc_gamma,calc_theta,calc_vega
3900.0,1760.0,5.15,0.0904109589041095,0.07,PUT,1.2320117576238012,-0.009382776998111408,1.7448793641883294e-05,-0.5438196444805284,0.2956177781122601
3900.0,1780.0,5.55,0.0904109589041095,0.07,PUT,1.229105356779197,-0.010055688068227764,1.8581159591481293e-05,-0.5762818796913634,0.31405970207978845
3900.0,1800.0,303.0,0.0904109589041095,0.07,CALL,,,,,
3900.0,1800.0,7.0,0.0904109589041095,0.07,PUT,1.2554307104924303,-0.012105662375890058,2.1377548891980494e-05,-0.6916236045395895,0.3690633725373524
3900.0,1820.0,8.4,0.0904109589041095,0.07,PUT,1.2745537930859643,-0.014016710745732852,2.3901315289871238e-05,-0.7968978075342832,0.4189191947809583
3900.0,1840.0,9.9,0.0904109589041095,0.07,PUT,1.2917071702969618,-0.01599122268662123,2.6412873850326667e-05,-0.9043680081143051,0.46916976516414816
3900.0,1860.0,253.6,0.0904109589041095,0.07,CALL,,,,,
3900.0,1860.0,11.15,0.0904109589041095,0.07,PUT,1.3004464731096135,-0.01763744047293747,2.852889977822011e-05,-0.9899250309576743,0.510185127173744
3900.0,1880.0,14.0,0.0904109589041095,0.07,PUT,1.3351893390836738,-0.020971755019631888,3.21920926222595e-05,-1.1773817816439296,0.5910746776997409
3900.0,1900.0,215.4,0.0904109589041095,0.07,CALL,,,,,
3900.0,1900.0,16.65,0.0904109589041095,0.07,PUT,1.3601488047703947,-0.023946586102297496,3.534212829905304e-05,-1.3411934326900044,0.6610425465856973
3900.0,1920.0,19.75,0.0904109589041095,0.07,PUT,1.3868572216508546,-0.027236318099007395,3.860635369046557e-05,-1.522977596520877,0.7362763097101335
3900.0,1940.0,23.5,0.0904109589041095,0.07,PUT,1.4170906661719216,-0.030971446863262586,4.204063641359135e-05,-1.7313487455811265,0.8192514312382126
3900.0,1960.0,27.85,0.0904109589041095,0.07,PUT,1.4491617361706317,-0.03504016483557504,4.551222261044887e-05,-1.9598948597348298,0.9069747422091499
3900.0,1980.0,158.0,0.0904109589041095,0.07,CALL,,,,,
3900.0,1980.0,31.5,0.0904109589041095,0.07,PUT,1.4692841251477022,-0.03839586258801364,4.837560720235709e-05,-2.141168076207223,0.9774228890683877
3900.0,2000.0,136.5,0.0904109589041095,0.07,CALL,,,,,
3900.0,2000.0,38.8,0.0904109589041095,0.07,PUT,1.5206477211678082,-0.04428009108567421,5.246899602050949e-05,-2.487377360929614,1.0971895411942518
3900.0,2020.0,124.6,0.0904109589041095,0.07,CALL,,,,,
3900.0,2020.0,45.35,0.0904109589041095,0.07,PUT,1.5583047075721148,-0.049283842878823814,5.5793258846137374e-05,-2.7773239301968933,1.19559585611864
3900.0,2040.0,116.4,0.0904109589041095,0.07,CALL,,,,,
3900.0,2040.0,51.0,0.0904109589041095,0.07,PUT,1.584209991436242,-0.05349523212653873,5.857971685938172e-05,-3.0134342302286004,1.2761752147250802
3900.0,2060.0,98.35,0.0904109589041095,0.07,CALL,,,,,
3900.0,2060.0,59.05,0.0904109589041095,0.07,PUT,1.6247170999070286,-0.05893937220204282,6.165539167369043e-05,-3.3356319610028193,1.3775237708307326
3900.0,2080.0,87.8,0.0904109589041095,0.07,CALL,,,,,
3900.0,2080.0,70.0,0.0904109589041095,0.07,PUT,1.680224824561428,-0.0656020830061339,6.481312017781653e-05,-3.749957881292491,1.4975475321655258
3900.0,2100.0,78.2,0.0904109589041095,0.07,CALL,,,,,
3900.0,2100.0,80.05,0.0904109589041095,0.07,PUT,1.7239973253000145,-0.07138116532057037,6.741886546583096e-05,-4.106301902929381,1.5983368674066036
3900.0,2120.0,69.0,0.0904109589041095,0.07,CALL,,,,,
3900.0,2120.0,91.25,0.0904109589041095,0.07,PUT,1.770325141403963,-0.0773435152516766,6.980224536530778e-05,-4.482730005759195,1.6993104164719666
3900.0,2140.0,61.3,0.0904109589041095,0.07,CALL,,,,,
3900.0,2140.0,102.9,0.0904109589041095,0.07,PUT,1.814967692403482,-0.08314610224341146,7.191176680614154e-05,-4.853724244229803,1.794812755286892
3900.0,2160.0,53.85,0.0904109589041095,0.07,CALL,,,,,
3900.0,2160.0,115.15,0.0904109589041095,0.07,PUT,1.8590588616460089,-0.08885397720715027,7.378241652801682e-05,-5.224528196975744,1.8862371983759938
3900.0,2180.0,48.25,0.0904109589041095,0.07,CALL,,,,,
3900.0,2180.0,126.6,0.0904109589041095,0.07,PUT,1.8956528770501764,-0.09399406674450628,7.543824966488265e-05,-5.553689919044138,1.966530593068893
3900.0,2200.0,41.75,0.0904109589041095,0.07,CALL,,,,,
3900.0,2200.0,143.0,0.0904109589041095,0.07,PUT,1.9537224110795666,-0.10043479120936194,7.684407084423915e-05,-6.0088798879013545,2.0645409975722226
3900.0,2220.0,36.8,0.0904109589041095,0.07,CALL,,,,,
3900.0,2220.0,155.2,0.0904109589041095,0.07,PUT,1.9880973211471669,-0.10527215999508643,7.814118494747789e-05,-6.326691554935996,2.13632794887592
3900.0,2240.0,31.95,0.0904109589041095,0.07,CALL,,,,,
3900.0,2240.0,166.75,0.0904109589041095,0.07,PUT,2.017355103166738,-0.10974988233563521,7.935476345795713e-05,-6.6148333967186925,2.2014338606493955
3900.0,2260.0,28.25,0.0904109589041095,0.07,CALL,,,,,
3900.0,2260.0,184.6,0.0904109589041095,0.07,PUT,2.0725494691271527,-0.11560040120036208,8.016012951466671e-05,-7.052352588389486,2.2846180573907855
3900.0,2280.0,25.3,0.0904109589041095,0.07,CALL,,,,,
3900.0,2280.0,198.0,0.0904109589041095,0.07,PUT,2.105642758892922,-0.12011522206284742,8.106843942830961e-05,-7.361251916373738,2.3473983422281273
3900.0,2300.0,21.8,0.0904109589041095,0.07,CALL,,,,,
3900.0,2300.0,220.0,0.0904109589041095,0.07,PUT,2.1725311103357012,-0.1261696342537415,8.132790677598018e-05,-7.861376841232138,2.4297180959269906
3900.0,2320.0,18.95,0.0904109589041095,0.07,CALL,,,,,
3900.0,2340.0,16.55,0.0904109589041095,0.07,CALL,,,,,
3900.0,2340.0,248.0,0.0904109589041095,0.07,PUT,2.2337313633602043,-0.13440599457998437,8.263737002214234e-05,-8.442929940255308,2.538386320396564
3900.0,2360.0,14.4,0.0904109589041095,0.07,CALL,,,,,
3900.0,2360.0,271.8,0.0904109589041095,0.07,PUT,2.299939183649707,-0.13978527208026637,8.243946246860588e-05,-8.92935315833002,2.607364769939817
3900.0,2380.0,12.4,0.0904109589041095,0.07,CALL,,,,,
3900.0,2400.0,10.95,0.0904109589041095,0.07,CALL,,,,,
3900.0,2400.0,308.5,0.0904109589041095,0.07,PUT,2.3841007638668286,-0.14812060525298099,8.269786538050923e-05,-9.623818766271404,2.7112476958049307
3900.0,2420.0,9.45,0.0904109589041095,0.07,CALL,,,,,
3900.0,2440.0,8.3,0.0904109589041095,0.07,CALL,,,,,
3900.0,2440.0,322.0,0.0904109589041095,0.07,PUT,2.378899565082345,-0.1533578568259606,8.481855237537839e-05,-9.824681389442283,2.774707782899978
3900.0,2460.0,7.2,0.0904109589041095,0.07,CALL,,,,,
3900.0,2480.0,6.35,0.0904109589041095,0.07,CALL,,,,,
3900.0,2500.0,5.7,0.0904109589041095,0.07,CALL,,,,,
3900.0,2500.0,402.0,0.0904109589041095,0.07,PUT,2.5754585213983763,-0.16612163184216977,8.255298028571791e-05,-11.207671307118726,2.9237323013855168
3900.0,2520.0,4.65,0.0904109589041095,0.07,CALL,,,,,
3900.0,2520.0,410.0,0.0904109589041095,0.07,PUT,2.5739714453063485,-0.1686728984069621,8.341590716381996e-05,-11.310178321934258,2.952588278817209
3900.0,2540.0,5.0,0.0904109589041095,0.07,CALL,,,,,
3900.0,2540.0,440.05,0.0904109589041095,0.07,PUT,2.6460430794763665,-0.1723982821649338,8.228690946511901e-05,-11.790798914029766,2.994180319067642
3900.0,2560.0,4.75,0.0904109589041095,0.07,CALL,,,,,
3900.0,2560.0,454.0,0.0904109589041095,0.07,PUT,2.6630847610654387,-0.17515252886696864,8.25887986816867e-05,-11.985794458467318,3.024519771955453
3900.0,2580.0,475.0,0.0904109589041095,0.07,PUT,2.7026279097451265,-0.1781186158595377,8.22491635940361e-05,-12.29297243686014,3.0568071257377074
3900.0,2600.0,2.75,0.0904109589041095,0.07,CALL,,,,,
3900.0,2600.0,496.5,0.0904109589041095,0.07,PUT,2.7427997463909795,-0.18097019492844135,8.185760426954297e-05,-12.600220592320651,3.087474789497613
3900.0,2620.0,2.0,0.0904109589041095,0.07,CALL,,,,,
3900.0,2640.0,2.15,0.0904109589041095,0.07,CALL,,,,,
3900.0,2680.0,565.0,0.0904109589041095,0.07,PUT,2.8396614446696837,-0.1911376780888332,8.179076270253508e-05,-13.490487067194852,3.193898514348893
3900.0,2700.0,1.5,0.0904109589041095,0.07,CALL,,,,,
3900.0,2700.0,598.3,0.0904109589041095,0.07,PUT,2.9126379590250155,-0.19351964653098996,8.034775871364818e-05,-13.942633908530519,3.2181817031409437
3900.0,2760.0,632.0,0.0904109589041095,0.07,PUT,2.922776816380489,-0.2004450610071431,8.179152204210013e-05,-14.28701461190518,3.28741273544811
3900.0,2800.0,0.75,0.0904109589041095,0.07,CALL,,,,,
3900.0,2800.0,691.55,0.0904109589041095,0.07,PUT,3.0397251075629383,-0.20427184337878845,7.9539252874692e-05,-15.027455843562908,3.324804452206008
3900.0,2880.0,0.55,0.0904109589041095,0.07,CALL,,,,,
