"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","30-Jul-2025","1,486.20","1,487.70","1,488.50","1,477.30","1,480.10","1,482.40","1,483.40","72,38,625","10,73,77,74,608.00","1,76,359","48,92,549","67.59"
"ICICIBANK","EQ","29-Jul-2025","1,488.40","1,479.90","1,489.80","1,475.40","1,484.90","1,486.20","1,483.47","97,76,027","14,50,24,89,122.80","2,30,759","72,99,615","74.67"
"ICICIBANK","EQ","28-Jul-2025","1,477.10","1,477.10","1,493.80","1,477.10","1,488.00","1,488.40","1,487.05","75,07,479","11,16,40,17,329.70","1,99,416","58,25,229","77.59"
"ICICIBANK","EQ","25-Jul-2025","1,483.40","1,500.00","1,500.00","1,473.60","1,477.90","1,477.10","1,481.47","86,96,077","12,88,30,11,018.60","1,93,064","62,64,138","72.03"
"ICICIBANK","EQ","24-Jul-2025","1,488.60","1,487.70","1,488.70","1,478.10","1,480.90","1,483.40","1,484.44","67,00,578","9,94,66,14,738.30","1,37,503","50,77,005","75.77"
"ICICIBANK","EQ","23-Jul-2025","1,473.60","1,482.90","1,490.00","1,472.60","1,486.60","1,488.60","1,483.02","1,19,74,174","17,75,78,90,209.50","1,84,240","1,00,69,740","84.10"
"ICICIBANK","EQ","22-Jul-2025","1,465.80","1,474.10","1,482.00","1,469.70","1,471.60","1,473.60","1,474.90","89,30,165","13,17,10,93,377.90","2,33,507","62,49,670","69.98"
"ICICIBANK","EQ","21-Jul-2025","1,425.80","1,448.00","1,467.70","1,437.00","1,464.50","1,465.80","1,457.79","1,38,67,136","20,21,54,22,421.30","2,32,151","82,15,574","59.24"
"ICICIBANK","EQ","18-Jul-2025","1,418.70","1,415.80","1,429.00","1,408.50","1,426.70","1,425.80","1,418.92","1,12,97,246","16,02,98,82,215.20","2,05,005","85,49,688","75.68"
"ICICIBANK","EQ","17-Jul-2025","1,426.40","1,421.00","1,423.20","1,409.50","1,418.40","1,418.70","1,416.65","1,29,27,394","18,31,36,03,998.40","2,34,109","83,38,800","64.50"
"ICICIBANK","EQ","16-Jul-2025","1,430.80","1,426.00","1,429.20","1,419.10","1,425.90","1,426.40","1,425.18","56,49,093","8,05,09,95,851.40","1,21,488","41,49,153","73.45"
"ICICIBANK","EQ","15-Jul-2025","1,423.00","1,421.10","1,433.80","1,419.00","1,432.00","1,430.80","1,426.47","60,41,457","8,61,79,66,324.90","1,75,820","38,07,070","63.02"
"ICICIBANK","EQ","14-Jul-2025","1,421.90","1,424.90","1,424.90","1,416.10","1,421.90","1,423.00","1,421.21","58,46,154","8,30,85,87,601.30","1,13,668","45,83,607","78.40"
"ICICIBANK","EQ","11-Jul-2025","1,424.10","1,422.00","1,428.00","1,414.60","1,422.00","1,421.90","1,420.14","71,58,015","10,16,54,11,225.40","1,54,732","57,38,193","80.16"
"ICICIBANK","EQ","10-Jul-2025","1,431.90","1,436.80","1,439.00","1,422.10","1,424.00","1,424.10","1,426.47","77,95,964","11,12,07,35,791.10","1,58,233","47,17,314","60.51"
"ICICIBANK","EQ","09-Jul-2025","1,442.00","1,436.20","1,438.70","1,426.60","1,430.80","1,431.90","1,431.91","88,27,347","12,63,99,71,093.50","1,20,088","69,24,214","78.44"
"ICICIBANK","EQ","08-Jul-2025","1,435.70","1,432.00","1,445.00","1,430.00","1,443.00","1,442.00","1,440.56","53,15,847","7,65,77,90,478.10","1,23,124","33,68,849","63.37"
"ICICIBANK","EQ","07-Jul-2025","1,442.80","1,437.00","1,440.90","1,429.60","1,435.90","1,435.70","1,433.38","51,77,477","7,42,13,12,203.10","1,27,818","37,43,907","72.31"
"ICICIBANK","EQ","04-Jul-2025","1,425.90","1,427.00","1,444.40","1,421.10","1,443.00","1,442.80","1,433.52","50,66,503","7,26,29,13,585.50","1,27,265","36,20,455","71.46"
"ICICIBANK","EQ","03-Jul-2025","1,427.80","1,432.10","1,446.10","1,423.70","1,427.00","1,425.90","1,429.96","1,01,77,738","14,55,37,51,194.80","1,81,095","64,08,115","62.96"
"ICICIBANK","EQ","02-Jul-2025","1,432.00","1,432.20","1,451.00","1,422.60","1,427.80","1,427.80","1,430.58","1,33,72,280","19,13,01,57,807.70","2,13,176","1,05,79,732","79.12"
"ICICIBANK","EQ","01-Jul-2025","1,445.80","1,445.70","1,447.60","1,429.60","1,431.70","1,432.00","1,435.52","77,61,449","11,14,17,35,649.70","1,85,345","57,16,616","73.65"
"ICICIBANK","EQ","30-Jun-2025","1,462.20","1,461.80","1,461.90","1,442.30","1,449.00","1,445.80","1,449.97","63,25,073","9,17,11,82,603.20","1,87,773","48,06,135","75.99"
"ICICIBANK","EQ","27-Jun-2025","1,439.10","1,438.90","1,466.00","1,437.10","1,457.90","1,462.20","1,457.56","2,25,32,899","32,84,30,85,618.20","2,17,058","1,88,74,040","83.76"
"ICICIBANK","EQ","26-Jun-2025","1,425.80","1,424.80","1,447.50","1,421.70","1,440.00","1,439.10","1,436.85","1,36,17,435","19,56,62,10,028.90","2,20,490","78,93,044","57.96"
"ICICIBANK","EQ","25-Jun-2025","1,424.10","1,422.00","1,428.90","1,415.30","1,424.50","1,425.80","1,423.08","75,27,388","10,71,20,47,350.90","1,47,548","54,01,581","71.76"
