underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
ICICIBANK,1387,1180.0,30-06-2026,CALL,123.0,201.8,214.4,0,69,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,208.10000000000002
ICICIBANK,1387,1180.0,30-06-2026,PUT,0.15,0.1,0.25,78,256,0.5503,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1190.0,30-06-2026,CALL,159.8,194.55,204.4,0,256,0.525,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,199.47500000000002
ICICIBANK,1387,1190.0,30-06-2026,PUT,0.2,0.15,0.2,845,304,0.5426,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1200.0,30-06-2026,CALL,185.0,186.45,191.65,71,414,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,189.05
ICICIBANK,1387,1200.0,30-06-2026,PUT,0.2,0.15,0.2,276,821,0.5163,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1210.0,30-06-2026,CALL,156.3,176.8,183.2,0,142,1.1732,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,180.0
ICICIBANK,1387,1210.0,30-06-2026,PUT,0.15,0.1,0.2,59,253,0.4738,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.15000000000000002
ICICIBANK,1387,1220.0,30-06-2026,CALL,171.85,166.35,171.55,1,342,0.7329000000000001,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,168.95
ICICIBANK,1387,1220.0,30-06-2026,PUT,0.1,0.1,0.15,186,452,0.4285,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.125
ICICIBANK,1387,1230.0,30-06-2026,CALL,145.75,155.4,164.6,0,405,0.5217,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,160.0
ICICIBANK,1387,1230.0,30-06-2026,PUT,0.2,0.15,0.2,274,570,0.43829999999999997,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1240.0,30-06-2026,CALL,148.85,146.65,151.45,39,918,0.39890000000000003,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,149.05
ICICIBANK,1387,1240.0,30-06-2026,PUT,0.2,0.15,0.2,321,1418,0.41240000000000004,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1250.0,30-06-2026,CALL,140.0,136.45,140.8,125,1837,0.515,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,138.625
ICICIBANK,1387,1250.0,30-06-2026,PUT,0.15,0.1,0.15,533,970,0.373,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.125
ICICIBANK,1387,1260.0,30-06-2026,CALL,129.65,127.55,133.0,397,1423,0.4543,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,130.275
ICICIBANK,1387,1260.0,30-06-2026,PUT,0.2,0.1,0.2,148,1248,0.3607,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.15000000000000002
ICICIBANK,1387,1270.0,30-06-2026,CALL,121.1,116.3,120.85,27,1014,0.5119,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,118.57499999999999
ICICIBANK,1387,1270.0,30-06-2026,PUT,0.2,0.1,0.25,206,1260,0.33490000000000003,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1280.0,30-06-2026,CALL,110.75,106.45,111.15,108,5525,0.45880000000000004,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,108.80000000000001
ICICIBANK,1387,1280.0,30-06-2026,PUT,0.15,0.1,0.15,842,2804,0.2978,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.125
ICICIBANK,1387,1290.0,30-06-2026,CALL,100.75,97.85,100.7,137,789,0.4235,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,99.275
ICICIBANK,1387,1290.0,30-06-2026,PUT,0.15,0.1,0.2,485,1111,0.2728,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.15000000000000002
ICICIBANK,1387,1300.0,30-06-2026,CALL,89.0,86.7,90.55,365,3014,0.2609,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,88.625
ICICIBANK,1387,1300.0,30-06-2026,PUT,0.1,0.1,0.15,2855,4331,0.2353,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.125
ICICIBANK,1387,1310.0,30-06-2026,CALL,80.35,76.25,81.7,262,1088,0.33399999999999996,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,78.975
ICICIBANK,1387,1310.0,30-06-2026,PUT,0.25,0.25,0.3,607,810,0.239,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.275
