underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
TCS,2095.9,1940.0,30-06-2026,CALL,0.0,138.85,160.25,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,149.55
TCS,2095.9,1940.0,30-06-2026,PUT,1.55,1.4,1.5,661,421,0.3882,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,1.45
TCS,2095.9,1960.0,30-06-2026,CALL,153.35,131.15,139.45,21,43,0.6384000000000001,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,135.3
TCS,2095.9,1960.0,30-06-2026,PUT,1.75,1.7,1.8,2795,1096,0.3549,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,1.75
TCS,2095.9,1980.0,30-06-2026,CALL,133.95,110.9,121.1,3,18,0.5856,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,116.0
TCS,2095.9,1980.0,30-06-2026,PUT,2.2,1.7,2.0,3406,1366,0.32799999999999996,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,1.85
TCS,2095.9,2000.0,30-06-2026,CALL,95.35,93.55,101.5,310,1030,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,97.525
TCS,2095.9,2000.0,30-06-2026,PUT,2.9,2.75,2.9,20508,4985,0.3028,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,2.825
TCS,2095.9,2020.0,30-06-2026,CALL,77.2,73.5,80.1,124,481,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,76.8
TCS,2095.9,2020.0,30-06-2026,PUT,4.0,3.7,3.9,8672,994,0.2792,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,3.8
